IHID,ProgramID,ProgramName,GovernmentName,GovernmentType,CensusID,Census Type,AddressStreet,City,County,State,name,Government Address: Zip,Program Applicable Areas,Year Program Adopted,Year Program Updated,3rd Party Managing Entity,Data Entry Year,Unit- vs. Fee-based Program?,Program Type and Development Type,Program Type,Development Type,(Ownership) Resale Restriction Exists?,(Ownership) Resale Formula Exists?,(Rental) Rent restriction Exists?,(Rental) Rent restriction Exists?,(Rental) Compliance Monitoring Exists?,(Rental) Timing of Income Certification,(Rental) Noncompliance Remedies/Enforcement,"""Right of 1st Refusal"" Exists?",Incentive,Affordable Housing Compliance Option,Minimum Project Size,Minimum Set-aside,Any Set-aside Requirement At 20% Or More?,Highest Income Served,Lowest Income Served,(Rental) Income Requirement Type,(Rental) Single Income Requirement Detail,(Rental) Multiple Tiers of Income Targeting Detail,(Ownership) Income Requirement Type,(Ownership) Single Income Requirement Detail,(Ownership) Multiple Tiers of Income Targeting Detail,(Rental) Term of Affordability,(Rental) Affordability Term Restart?,(Ownership) Term of Affordability,(Ownership) Affordability Term Restart?,TotalAffordableRentalUnits,TotalAffordableOwnershipUnits,TotalAffordableUnits,In-Lieu Fees,Program Type,Commercial Development Type,Office Development Fee Rate,Industrial Development Fee Rate,Retail/Service Development Fee Rate,Hotel Development Fee Rate,R&D Fee Rate,Commercial Development Exemptions,Residential Development Type,Rental Fee Rate,Single Family For-Sale Fee Rate,Multifamily For-Sale Fee Rate,Townhouse For-Sale Fee Rate,Alternative Compliance Option,Fee Amount - Residential Development,Fees Amount - Commercial Development,Total Affordable Units
19,"City and County of San Francisco, CA: ""HOME-SF"" Mixed-Income Density Bonus Program","""HOME-SF"" Mixed-Income Density Bonus Program",City and County of San Francisco,Consolidated city-county,0500000US06075,County,"Mayor's Office of Housing and Community Development, 1 South Van Ness Avenue, 5th Floor",San Francisco,San Francisco,CA,California,94103,"Certain zones, neighborhoods, or districts",2017,2018,None,2018,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, revocation/denial/suspension of permits, revocation/denial/suspension of incentives granted under the inclusionary program, law suit",Yes,"Density bonus, other zoning variance, expedited permitting",On-site units,3 units,30% of total project units. And the set-aside requirement varies.,Yes,130% AMI,55% AMI,Multiple tiers of income targeting,,"For rentals: 55% AMI, 80% AMI, 110% AMI; The low income level is alwasy 10% and the other two tiers vary depending on whether it's a 20 - 30% requirement.",Multiple tiers of income targeting,,"For condos: 80% AMI, 105% AMI, 130% AMI. The low income level is alwasy 10% and the other two tiers vary depending on whether it's a 20 - 30% requirement.",Life of building,,Life of building,,0,0,0,,,,,,,,,,,,,,,,,,
30,"City of Brisbane, CA: Inclusionary Housing Program",Inclusionary Housing Program,City of Brisbane,Town or city,1600000US0608310,Place,50 Park Place,Brisbane,San Mateo,CA,California,94005,Entire jurisdiction,2009,,None,2018,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,,Yes,"Density bonus, other zoning variance, unit concessions",On-site units,6 units,13% of total project units. And the set-aside requirement varies.,No,110% AMI,50% AMI,Multiple tiers of income targeting,,"LI: 60% AMI, VLI: 50% AMI. Mix requirement is based on development size",Multiple tiers of income targeting,,"MI: 110%, LI: 70%. Income mix requirement is based on development size",55 years,,45 years,Yes,0,2,2,,,,,,,,,,,,,,,,,,
48,"City of Pacifica, CA: Below Market Rate (Inclusionary) Program",Below Market Rate (Inclusionary) Program,City of Pacifica,Town or city,1600000US0654806,Place,170 Santa Maria Avenue,Pacifica,San Mateo County,CA,California,94044,Entire jurisdiction,2007,,Bay Area Affordable Homeownership Alliance,2018,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Every time a new tenant moves in,"Notice of violation and opportunity to cure, injunction/forced compliance, revocation/denial/suspension of permits",Yes,"Density bonus, other zoning variance, fee reduction/waiver","On-site units, off-site units, in-lieu fee, donate land",8 units,15% of total project units,No,120% AMI,50% AMI,Multiple tiers of income targeting,,50% low and very low; 50% moderate,Multiple tiers of income targeting,,50% low and very low; 50% moderate,55 years,,45 years,No,0,0,0,"$300,000 ",,,,,,,,,,,,,,,,,
58,"City of Santa Paula, CA: Housing Opportunities Overlay Zone",Housing Opportunities Overlay Zone,City of Santa Paula,Town or city,1600000US0670042,Place,200 South 10th Street,Santa Paula,Ventura,CA,California,93060,"Certain zones, neighborhoods, or districts",2012,,None,2019,Traditional Inclusionary Housing,"Voluntary program, rental development only",Voluntary program,Rental only,,,,Yes,Yes,As determined by City Council.,,No,"Density bonus, other zoning variance, expedited permitting, fee reduction/waiver","On-site units, rehab regulated units, renovate unregulated units",,100% of total project units. And the set-aside requirement varies.,Yes,120% AMI,30% AMI,Multiple tiers of income targeting,,"10% ELI (0-30% AMI), 20% VLI (31-50% AMI), 60% LI (51-80% AMI), 10% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)",,,,55 years,,,,0,,,,,,,,,,,,,,,,,,,,
70,"Contra Costa County Department of Conservation and Development, CA: Inclusionary Housing Ordinance",Inclusionary Housing Ordinance,Contra Costa County Department of Conservation and Development,County,0500000US06013,County,30 Muir Road,Martinez,Contra Costa County,CA,California,94553,Entire jurisdiction,2006,,None,2018,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,,Yes,,,Notice of violation and opportunity to cure,No,"Density bonus, other zoning variance, fee reduction/waiver, direct subsidy/TIF, other","On-site units, off-site units, in-lieu fee, donate land, other",5 units,15% of total project units,No,120% AMI,80% AMI,Single income targeting requirement,50 - 80% AMI,,Single income targeting requirement,80 - 120% AMI,,55 years,,3 years,,0,12,12,"$232,573 ",,,,,,,,,,,,,,,,,
86,"Del Mar, CA: Affordable Set-Aside for Condo Conversions",Affordable Set-Aside for Condo Conversions,Del Mar,Town or city,1600000US0618506,Place,1050 Camino del Mar,Del Mar,San Diego,CA,California,92014,Entire jurisdiction,2006,2015,None,2019,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,No,No,No,No,No,,"Notice of violation and opportunity to cure, revocation/denial/suspension of permits",,None,"On-site units, off-site units, rehab regulated units, renovate unregulated units, in-lieu fee, donate land",5 units,10% of total project units. And the set-aside requirement varies.,Yes,80% AMI,80% AMI,Multiple options of income targeting requirement,,,Multiple options of income targeting requirement,,,30 years,No,30 years,No,0,0,0,,,,,,,,,,,,,,,,,,
99,"Fort Bragg, CA: Inclusionary Housing Requirements",Inclusionary Housing Requirements,Fort Bragg,Town or city,1600000US0625058,Place,416 N Franklin Street,Fort Bragg,Mendocino,CA,California,95437,Entire jurisdiction,2014,,None,2018,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,Yes,Yes,Annually,"Notice of violation and opportunity to cure, financial penalty, revocation/denial/suspension of permits, revocation/denial/suspension of incentives granted under the inclusionary program",Yes,"Density bonus, other zoning variance, expedited permitting","On-site units, off-site units, in-lieu fee, donate land",8 units,15% of total project units. And the set-aside requirement varies.,No,120% AMI,80% AMI,Multiple options of income targeting requirement,,,Multiple options of income targeting requirement,,,55 years,,30 years,No,0,1,1,"$100,000 ",,,,,,,,,,,,,,,,,
182,"San Leandro, CA: Inclusionary Housing  Program",Inclusionary Housing Program,San Leandro,Town or city,1600000US0668084,Place,835 E. 14th Street,San Leandro,USA,CA,California,94577,Entire jurisdiction,2004,2019,Bay Area Affordable Homeownership Alliance,2018,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,Yes,,,,,Yes,None,"On-site units, in-lieu fee",4 units,15% of total project units. And the set-aside requirement varies.,No,120% AMI,50% AMI,"Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 60% VLI (31-50% AMI), 40% LI (51-80% AMI), 0% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)","Multiple tiers of income targeting, multiple options of income targeting requirement",,"0% ELI (0-30% AMI), 0% VLI (31-50% AMI), 40% LI (51-80% AMI), 60% Mod-Income (81-120% AMI), 0% Above Mod-Income (more than 120% AMI)",55 years,,45 years,,0,56,56,,,,,,,,,,,,,,,,,,
198,"Sebastopol, CA: Inclusionary Housing Requiremetns",Inclusionary Housing Requiremetns,Sebastopol,Town or city,1600000US0670770,Place,7120 Bodega Ave,Sebastopol,Sonoma,CA,California,95472,Entire jurisdiction,2018,,Sonoma County CDC,2019,Traditional Inclusionary Housing,"Mandatory program, both rental and for-sale",Mandatory program,Both ownership and rental,Yes,Yes,,Yes,,,,,Unit concessions,"On-site units, off-site units, renovate unregulated units, in-lieu fee, donate land",5 units,5% of total project units. And the set-aside requirement varies.,No,120% AMI,50% AMI,Multiple options of income targeting requirement,,,Multiple options of income targeting requirement,,,In perpetuity,,In perpetuity,,0,15,15,,,,,,,,,,,,,,,,,,
216,"Tuolumne County, CA: Inclusionary Housing Ordinance",Inclusionary Housing Ordinance,Tuolumne County,County,0500000US06109,County,"County of Tuolumne CRA, 2 South Green Street",Sonora,Tuolumne,CA,California,95370,Entire jurisdiction,2008,2012,None,2018,Traditional Inclusionary Housing,"Voluntary program, both rental and for-sale",Voluntary program,Both ownership and rental,Yes,Yes,Yes,Yes,,,,,"Density bonus, other zoning variance, expedited permitting, fee reduction/waiver","On-site units, off-site units, in-lieu fee, donate land",10 units,10% of total project units,No,100% AMI,80% AMI,Single income targeting requirement,0 - 80% AMI,,Single income targeting requirement,0 - 100% AMI,,15 years,No,15 years,Yes,0,7,7,$0 ,,,,,,,,,,,,,,,,,
